date,game_id,home_team_fl,team,PTS,ORebs,DRebs,AST,TO,STL,BLK,Fouls,fg_pct,three_pt_pct,ft_pct,efg,pace
02/06/2018,4488494,1,Air Force,78,10,10,18,9,4,2,12,45.6,46.2,70,56.10000000000001,64.8
02/10/2018,4491730,0,New Mexico,92,6,6,15,17,6,1,26,50,51.9,78.60000000000001,62.5,79.32
02/10/2018,4491730,1,Air Force,100,9,9,20,15,5,5,27,59,27.800000000000004,88.5,63.1,78.44
02/14/2018,4495306,0,Air Force,73,8,8,19,8,5,5,25,40.6,43.3,66.7,50.8,69.28
02/14/2018,4495306,1, UNLV,81,19,19,16,18,2,9,17,44.6,52.900000000000006,68.8,52.7,69.08
02/17/2018,4497223,0,Air Force,52,4,4,8,10,7,4,11,38.5,29.4,87.5,43.3,61.52
02/17/2018,4497223,1, Boise St.,76,6,6,19,13,3,2,14,52.800000000000004,50,60,66,64.4
02/21/2018,4502323,0,San Diego St.,67,5,5,13,10,7,2,12,48.1,30,60,53.7,65.6
02/21/2018,4502323,1,Air Force,56,5,5,20,15,6,3,17,39.6,36.1,50,51.9,63.88
02/24/2018,4505130,0,Utah St.,65,15,15,12,17,3,3,24,38.6,37,57.9,47.4,67.36
02/24/2018,4505130,1,Air Force,75,6,6,12,12,12,4,19,49,42.1,65.4,56.89999999999999,68.44
02/26/2018,4508303,0,Fresno St.,54,8,8,8,14,5,1,20,33.900000000000006,21.4,76.5,36.6,69.48
02/26/2018,4508303,1,Air Force,48,7,7,9,18,9,3,18,28.599999999999998,18.2,72.7,32.7,69.68
02/28/2018,4509912,0,Air Force,54,11,11,12,19,6,1,15,39,25,60,43.2,69.2
02/28/2018,4509912,1, Wyoming,66,5,5,15,15,12,5,14,43.4,40,66.7,52.800000000000004,69.6
03/03/2018,4512700,0,San Jose St.,61,6,6,13,11,4,3,21,38.3,33.300000000000004,58.3,45,70.28
03/03/2018,4512700,1,Air Force,83,10,10,21,7,5,3,16,43.8,39,64.7,56.2,68.48
03/07/2018,4518158,0,Air Force,90,10,10,22,13,9,3,24,46.400000000000006,48.1,65,55.800000000000004,80.8
03/07/2018,4518158,1, UNLV,97,13,13,23,13,5,5,20,49.2,41.199999999999996,70.3,54.6,81.28
11/11/2017,4444003,0,Cleveland St.,57,4,4,7,16,5,4,20,40,15.8,38.5,42.699999999999996,78.44
11/11/2017,4444003,1,Akron,67,12,12,8,17,5,5,26,30.3,23.5,82.6,36.4,81.12
11/18/2017,4448587,0,UT Martin,59,14,14,9,13,7,3,15,42.4,30,60,47.5,60.2
11/18/2017,4448587,1,Akron,76,12,12,18,14,2,2,11,47.199999999999996,48.4,78.60000000000001,61.3,61.16
11/25/2017,4451935,0,Akron,60,5,5,16,10,5,1,17,44,30,55.60000000000001,50,62.92
11/25/2017,4451935,1, Dayton,73,10,10,21,14,5,2,17,51.9,42.9,58.8,60.6,63.480000000000004
11/28/2017,4453509,0,Chattanooga,70,6,6,13,18,7,1,16,54.2,45.5,61.9,59.4,69.24000000000001
11/28/2017,4453509,1,Akron,75,9,9,13,17,13,2,23,52.800000000000004,42.9,76.5,58.5,68.48
12/02/2017,4456399,0,Akron,64,17,17,9,23,11,2,19,38.1,25,52.6,42.9,77.36
12/02/2017,4456399,1, Marshall,86,17,17,17,20,10,5,19,46.9,34.5,80,54.7,75.8
12/06/2017,4458373,0,Purdue Fort Wayne,79,7,7,16,20,10,3,21,48.3,42.4,81.8,60.3,75.84
12/06/2017,4458373,1,Akron,83,15,15,16,18,9,5,16,50.8,41.699999999999996,40.699999999999996,59,75.88
12/09/2017,4461117,0,Appalachian St.,89,6,6,18,5,6,5,18,49.2,42.9,72.2,58.5,71.92
12/09/2017,4461117,1,Akron,94,8,8,26,13,4,2,17,56.699999999999996,58.3,60,68.30000000000001,73.8
12/16/2017,4462466,0,Mississippi Val.,63,13,13,8,10,6,2,19,36.5,8.3,80,37.3,68.8
12/16/2017,4462466,1,Akron,81,15,15,15,12,9,6,19,47.5,42.9,61.9,57.599999999999994,65.24
12/22/2017,4465220,0,Southern California,53,5,5,12,16,3,1,22,32,25,73.7,39,69.36
12/22/2017,4465220,1,Akron,84,10,10,13,11,5,3,19,49.1,43.5,74.1,58.199999999999996,67.88
12/23/2017,4465394,0,Princeton,64,7,7,9,13,3,6,15,44.2,29.2,78.60000000000001,51,64.16
12/23/2017,4465394,1,Akron,62,7,7,7,11,3,4,11,35.099999999999994,40,71.39999999999999,45.6,67.16
12/25/2017,4465454,0,Davidson,78,4,4,14,15,4,1,17,49,40,77.8,62.7,69.92
12/25/2017,4465454,1,Akron,91,4,4,21,6,5,2,17,53.2,46.400000000000006,80,63.7,70.6
12/29/2017,4466068,0,Concord,49,11,11,9,8,4,1,17,27.3,20,69.19999999999999,30.3,68.72
12/29/2017,4466068,1,Akron,86,9,9,17,11,4,7,18,50.9,48,69.19999999999999,61.8,68.44
01/02/2018,4468005,0,Akron,75,10,10,15,11,5,2,23,44.3,33.300000000000004,80,51.6,68.6
01/02/2018,4468005,1, Western Mich.,87,12,12,16,11,2,1,16,55.400000000000006,47.4,69.6,63.4,65.12
01/05/2018,4469548,0,Akron,65,9,9,16,11,6,2,22,45,40.9,50,52.5,63.76
01/05/2018,4469548,1, Toledo,67,4,4,15,10,4,8,12,47.8,37.5,63.6,57.599999999999994,61.68
01/09/2018,4471971,0,Buffalo,87,13,13,14,11,9,5,29,49.3,22.6,66.7,54.50000000000001,74.24
01/09/2018,4471971,1,Akron,65,10,10,5,16,6,1,21,31.900000000000002,30,70.7,38.3,71.03999999999999
01/13/2018,4474836,0,Bowling Green,78,10,10,8,11,8,2,18,40.400000000000006,43.8,67.4,47.099999999999994,71.92
01/13/2018,4474836,1,Akron,80,10,10,13,14,3,2,31,43.3,37.5,80,53.300000000000004,72.8
01/16/2018,4475875,0,Akron,49,11,11,11,12,7,2,18,30.9,24.099999999999998,100,37.3,59.52
01/16/2018,4475875,1, Eastern Mich.,63,7,7,12,14,9,10,11,46.7,38.9,70,54.400000000000006,60.8
01/20/2018,4478271,0,Northern Ill.,67,11,11,4,15,5,1,16,39.6,26.700000000000003,75.8,43.8,66.52
01/20/2018,4478271,1,Akron,82,8,8,19,13,6,1,23,52.7,48.4,75,66.4,65.28
01/23/2018,4480018,0,Ohio,68,8,8,16,12,6,4,17,46,39.1,81.2,55.00000000000001,61.04
01/23/2018,4480018,1,Akron,71,10,10,14,11,5,0,17,47.3,43.5,64.3,56.39999999999999,62.16
01/27/2018,4481610,0,Akron,106,11,11,19,18,12,3,33,46.800000000000004,34.1,90.5,56.49999999999999,93.24
01/27/2018,4481610,1, Ball St.,111,11,11,18,18,7,2,19,50,55.60000000000001,78.60000000000001,57.4,93.48
01/30/2018,4483738,0,Akron,64,6,6,8,10,3,2,15,40.699999999999996,22.6,90,46.6,67.4
01/30/2018,4483738,1, Miami (OH),79,5,5,16,6,9,4,12,48.3,33.300000000000004,76.5,56.89999999999999,66.48
02/03/2018,4485640,0,Toledo,77,11,11,18,9,4,2,10,50,37,61.1,58.9,61.92
02/03/2018,4485640,1,Akron,56,9,9,4,10,3,2,17,39,38.1,28.599999999999998,45.800000000000004,63.08
02/06/2018,4488484,0,Akron,75,11,11,5,15,6,2,20,41.5,23.1,75,46.2,77.8
02/06/2018,4488484,1, Ohio,99,7,7,19,15,7,7,20,54.2,59.3,82.6,67.80000000000001,77.12
02/10/2018,4491238,0,Central Mich.,63,14,14,8,12,3,1,11,40.699999999999996,22.7,47.599999999999994,44.9,66.24
02/10/2018,4491238,1,Akron,69,10,10,14,11,3,4,16,43.9,33.300000000000004,73.3,50.9,64.6
02/13/2018,4494286,0,Ball St.,90,13,13,16,17,3,5,20,55.400000000000006,41.199999999999996,77.8,61.6,71.88
02/13/2018,4494286,1,Akron,77,10,10,13,8,5,2,24,41.5,37.9,75,50,70.04
02/17/2018,4497293,0,Akron,68,10,10,12,14,6,5,23,39.6,42.9,70.8,48.1,67.56
02/17/2018,4497293,1, Kent St.,78,11,11,8,14,7,6,21,42.6,41.699999999999996,91.7,51.9,67.56
02/20/2018,4501415,0,Akron,81,3,3,12,11,7,4,20,52.1,41.199999999999996,80,59.4,69.2
02/20/2018,4501415,1, Bowling Green,79,12,12,17,14,4,1,20,47.5,30.4,69.6,53.400000000000006,71.12
02/24/2018,4504887,0,Miami (OH),64,16,16,11,15,12,0,16,34.4,19.2,78.9,38.3,71.36
02/24/2018,4504887,1,Akron,62,13,13,8,19,6,5,22,36.8,21.4,82.39999999999999,42.1,70.48
