pitch_x,pitch_y,pitch_type,strike
-47,35,FB,0
5,-98,FB,0
-40,23,FB,1
69,-40,FB,0
51,4,FB,1
53,-81,FB,0
77,-74,FB,0
60,-70,FB,0
24,-63,FB,1
8,-49,FB,1
25,65,FB,0
-44,44,FB,0
-63,86,FB,0
1,-49,FB,1
-40,68,BRK,0
-75,44,FB,0
80,-31,BRK,0
57,-47,BRK,0
-78,14,FB,0
-74,25,FB,0
88,-16,FB,0
49,-42,FB,1
29,-59,FB,1
48,-49,FB,1
-73,-64,FB,0
22,-64,FB,1
56,-58,FB,0
65,13,FB,0
69,-1,FB,1
-44,-6,FB,1
-59,-43,FB,0
-3,-88,FB,0
75,-5,FB,0
-101,120,FB,0
58,68,FB,0
33,-36,BRK,1
53,-1,FB,0
67,-28,FB,0
-44,-30,FB,1
-82,30,FB,0
80,53,FB,0
66,106,FB,0
-81,-25,FB,0
-73,-58,FB,0
-52,-64,BRK,0
41,13,FB,0
75,-30,FB,0
-67,-62,FB,0
-12,-40,CHG,1
1,-17,FB,1
34,-83,FB,0
19,-76,FB,0
-73,-83,FB,0
62,51,FB,0
-74,62,FB,0
63,-6,CHG,1
-19,-51,FB,1
-74,71,FB,0
-59,106,FB,0
3,-92,FB,0
-41,-11,FB,1
42,-82,FB,0
53,-43,FB,0
28,-47,FB,1
58,-98,FB,0
19,-53,FB,0
89,-50,FB,0
-69,116,FB,0
52,-25,FB,1
-65,102,FB,0
-60,52,FB,0
49,-20,FB,1
-29,71,FB,0
42,77,FB,0
44,32,FB,1
63,-68,FB,0
63,-82,FB,0
-78,-6,FB,0
-78,-67,FB,0
58,64,FB,1
6,0,FB,1
-82,-53,FB,0
72,87,FB,0
-10,35,CHG,1
59,131,BRK,0
45,-112,FB,0
11,-33,CHG,1
72,37,BRK,0
46,-113,FB,0
30,-90,FB,0
80,67,BRK,0
-25,0,FB,1
82,-44,FB,0
36,110,BRK,0
-47,-39,FB,1
-70,-111,CHG,0
-85,-66,BRK,0
79,77,BRK,0
-56,-8,FB,1
-86,-21,FB,0
74,53,FB,0
45,-68,FB,1
4,-59,BRK,1
-80,-89,BRK,0
-71,-90,BRK,0
-82,110,FB,0
-8,-68,BRK,1
-1,-69,FB,1
37,-62,FB,1
-14,121,FB,0
35,24,BRK,1
74,90,BRK,0
35,112,FB,0
-82,4,FB,0
27,-64,BRK,1
69,101,BRK,0
6,-23,BRK,0
4,105,FB,0
40,-55,FB,1
-52,-93,BRK,0
-69,-74,FB,1
47,9,BRK,1
3,-111,CHG,0
